2022-04-22 09:42:46.136241+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_DE | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936181
2022-04-22 09:42:46.136241+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5 | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936180
2022-04-22 09:42:46.136241+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_DE | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936181
2022-04-22 09:42:46.136241+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5 | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936180
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5 | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936180
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_DE | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936181
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5 | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936180
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_DE | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936181
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5 | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936180
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_DE | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936181
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5 | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936180
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_DE | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936181
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5 | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936180
2022-04-22 09:44:53.098308+05:30 : ERROR : StockChecker.PlaywrightStockChecker : get_page_html() Error | Product: PS5_DE | Website: reliance | Status: 404 | URL: https://www.reliancedigital.in/sony-playstation-5-console/p/491936181
